# x_m,y_m,altitude (m)
279.93827,-220.398945,144.2
283.459162,-223.941599,144.1
286.980534,-227.483774,144
290.50244,-231.02542,144
294.024931,-234.566483,143.9
297.548059,-238.106912,143.8
301.071877,-241.646654,143.7
304.596438,-245.185658,143.7
308.121793,-248.72387,143.6
311.647995,-252.261238,143.6
315.175095,-255.79771,143.5
318.703147,-259.333233,143.4
322.232201,-262.867755,143.3
325.76231,-266.401224,143.2
329.293526,-269.933586,143.1
332.825902,-273.464789,143
336.359485,-276.994783,142.9
339.894306,-280.523539,142.8
343.430372,-284.051045,142.7
346.967696,-287.577292,142.6
350.506286,-291.102267,142.5
354.046153,-294.62596,142.4
357.587306,-298.14836,142.4
361.129759,-301.669458,142.3
364.673519,-305.18924,142.3
368.220133,-308.706026,142.2
371.781434,-312.207772,142.2
375.385677,-315.665435,142.1
379.060568,-319.048026,142.1
382.831749,-322.322735,142
386.722745,-325.453944,141.9
390.753441,-328.402756,141.8
394.939549,-331.126024,141.8
399.289299,-333.579432,141.7
403.814458,-335.689453,141.7
408.536594,-337.30812,141.6
413.414349,-338.373025,141.6
418.371196,-338.969999,141.5
423.363114,-339.0132,141.5
428.307893,-338.354616,141.4
433.069353,-336.860911,141.4
437.607767,-334.782678,141.3
441.911482,-332.255712,141.3
445.939261,-329.312976,141.3
449.642979,-325.960998,141.3
453.108323,-322.358821,141.3
456.380839,-318.591189,141.3
459.509239,-314.693046,141.2
462.541067,-310.722854,141.2
465.530662,-306.719672,141.1
468.531914,-302.7257,141.1
471.597823,-298.788791,141.1
474.783739,-294.938736,141.1
478.141285,-291.239712,141.2
481.796703,-287.856871,141.3
485.790149,-284.847786,141.3
489.99015,-282.144826,141.3
494.36174,-279.74136,141.4
498.889456,-277.626921,141.4
503.53121,-275.78543,141.4
508.262479,-274.184763,141.5
513.059553,-272.792853,141.5
517.905294,-271.580771,141.5
522.78677,-270.521139,141.6
527.69372,-269.586377,141.6
532.618155,-268.748539,141.6
537.553748,-267.979381,141.6
542.495292,-267.250118,141.6
547.438301,-266.53133,141.6
552.378264,-265.792747,141.6
557.310092,-265.003272,141.6
562.227778,-264.130688,141.5
567.123908,-263.141841,141.5
571.988327,-262.008504,141.5
576.807259,-260.711303,141.5
581.570589,-259.224682,141.5
586.255147,-257.494656,141.5
590.824918,-255.465631,141.6
595.213432,-253.086492,141.7
599.351629,-250.305429,141.7
603.249296,-247.176504,141.7
606.933562,-243.801396,141.7
610.39108,-240.200087,141.6
613.595066,-236.370049,141.5
616.548799,-232.342497,141.5
619.28506,-228.162774,141.4
621.840158,-223.871515,141.3
624.24426,-219.494597,141.3
626.514254,-215.045385,141.3
628.660712,-210.535033,141.2
630.69899,-205.975093,141.1
632.648035,-201.376295,140.9
634.525979,-196.74819,140.8
636.35216,-192.099673,140.7
638.152422,-187.440969,140.6
639.947262,-182.779942,140.5
641.742645,-178.119056,140.4
643.53901,-173.458565,140.3
645.336323,-168.798444,140.2
647.134539,-164.13867,140.1
648.93361,-159.479226,140
650.733486,-154.820094,139.9
652.53412,-150.161254,139.8
654.335463,-145.502688,139.6
656.137468,-140.844378,139.5
657.940085,-136.186306,139.4
659.743268,-131.528452,139.2
661.546986,-126.870805,138.9
663.351218,-122.213358,138.6
665.155945,-117.556102,138.3
666.961147,-112.89903,138.1
668.766805,-108.242135,137.8
670.572898,-103.585409,137.5
672.379408,-98.928844,137.3
674.186314,-94.272433,137.2
675.993597,-89.616168,137.2
677.801237,-84.960042,137.3
679.609214,-80.304047,137.6
681.41751,-75.648176,137.9
683.226104,-70.99242,138.3
685.034977,-66.336773,138.6
686.844108,-61.681227,138.6
688.653479,-57.025773,138.6
690.46307,-52.370405,138.6
692.272861,-47.715114,138.7
694.082833,-43.059894,138.8
695.892965,-38.404736,139
697.703238,-33.749634,139.2
699.513633,-29.094578,139.3
701.324131,-24.439562,139.4
703.134659,-19.78456,139.5
704.943672,-15.128963,139.6
706.742013,-10.46931,139.7
708.508537,-5.797732,139.8
710.218709,-1.105231,139.9
711.856248,3.613446,140.1
713.412419,8.359825,140.3
714.878957,13.134693,140.4
716.245891,17.938993,140.6
717.50253,22.773235,140.7
718.637923,27.637204,140.9
719.640888,32.530513,141.1
720.500952,37.450275,141.2
721.207818,42.391505,141.4
721.743673,47.358868,141.5
722.069282,52.346275,141.6
722.113107,57.336058,141.8
721.845181,62.324288,142
721.318739,67.293484,142.2
720.573308,72.22625,142.4
719.582826,77.12029,142.5
718.283123,81.943404,142.7
716.622961,86.650672,142.9
714.614732,91.222907,143
712.31853,95.65892,143.2
709.799188,99.971306,143.4
707.115336,104.183596,143.6
704.321917,108.32433,143.9
701.467828,112.423553,144.1
698.595847,116.510463,144.3
695.747286,120.613828,144.5
692.964134,124.761773,144.7
690.289865,128.980508,144.8
687.769954,133.293086,145
685.452587,137.717234,145.2
683.387795,142.264018,145.3
681.630476,146.937469,145.5
680.250303,151.735452,145.6
679.32294,156.641017,145.7
678.939176,161.617721,145.8
679.10511,166.606408,145.9
679.68103,171.563673,146
680.632335,176.465494,146.1
682.008609,181.269317,146.1
683.864069,185.903139,146.2
686.162555,190.33597,146.2
688.816717,194.567076,146.2
691.753763,198.605205,146.3
694.934814,202.453998,146.3
698.336947,206.109567,146.3
701.947201,209.561563,146.3
705.770636,212.776024,146.4
709.817145,215.699886,146.4
714.07699,218.303066,146.3
718.510349,220.605404,146.3
723.069337,222.64673,146.2
