# x_m,y_m,altitude (m)
-2.132885,-0.181063,213.3
-3.0108,4.73369,213.3
-3.698555,9.678734,213.4
-4.220183,14.644138,213.5
-4.599648,19.622499,213.5
-4.860881,24.608501,213.6
-5.030673,29.598455,213.6
-5.14386,34.590032,213.6
-5.233221,39.582129,213.7
-5.310912,44.574433,213.7
-5.378664,49.566881,213.8
-5.436812,54.559451,213.8
-5.485694,59.55212,213.9
-5.525644,64.544869,213.9
-5.556999,69.537679,214
-5.580095,74.530534,214
-5.595269,79.52342,214.1
-5.602856,84.516323,214.1
-5.603192,89.509231,214.1
-5.596614,94.502136,214.2
-5.583458,99.495027,214.2
-5.56406,104.487898,214.2
-5.538756,109.480743,214.2
-5.507859,114.473557,214.3
-5.471649,119.466334,214.3
-5.430402,124.459073,214.3
-5.384394,129.45177,214.4
-5.333901,134.444423,214.4
-5.279199,139.437032,214.4
-5.220565,144.429597,214.5
-5.158275,149.422117,214.5
-5.092605,154.414594,214.5
-5.02383,159.40703,214.5
-4.952229,164.399425,214.6
-4.878075,169.391784,214.6
-4.801647,174.384108,214.6
-4.723219,179.3764,214.7
-4.643069,184.368666,214.7
-4.561472,189.360908,214.7
-4.478705,194.353131,214.8
-4.395044,199.345339,214.8
-4.310765,204.337537,214.8
-4.226145,209.329729,214.9
-4.14146,214.32192,214.9
-4.056986,219.314114,214.9
-3.973019,224.306317,215
-3.889861,229.298533,215
-3.807817,234.290768,215
-3.72719,239.283026,215.1
-3.648283,244.275312,215.1
-3.571401,249.267629,215.2
-3.496847,254.259981,215.2
-3.424925,259.252372,215.3
-3.355939,264.244804,215.3
-3.290192,269.23728,215.4
-3.227988,274.229802,215.5
-3.169631,279.222369,215.5
-3.115425,284.214984,215.6
-3.065672,289.207645,215.7
-3.020678,294.200351,215.7
-2.980746,299.1931,215.8
-2.946179,304.185889,215.8
-2.917281,309.178714,215.9
-2.894356,314.171571,215.9
-2.877707,319.164452,216
-2.867639,324.15735,216
-2.864432,329.150257,216.1
-2.868297,334.143164,216.1
-2.879424,339.13606,216.2
-2.898008,344.128934,216.2
-2.924239,349.121774,216.2
-2.958309,354.114566,216.3
-3.000409,359.107297,216.3
-3.052385,364.099934,216.3
-3.13122,369.092105,216.4
