# x_m,y_m,altitude (m)
-0.815373,-4.171075,1533.1
4.088303,-5.131397,1533.2
8.993053,-6.08622,1533.2
13.897839,-7.040865,1533.3
18.802562,-7.995828,1533.3
23.707226,-8.9511,1533.4
28.61183,-9.906673,1533.4
33.516378,-10.862539,1533.5
38.42087,-11.818688,1533.5
43.325309,-12.775113,1533.6
48.229696,-13.731805,1533.6
53.134032,-14.688755,1533.7
58.038319,-15.645955,1533.7
62.942559,-16.603396,1533.8
67.846754,-17.56107,1533.8
72.750905,-18.518968,1533.9
77.655014,-19.477083,1534
82.559083,-20.435404,1534
87.463112,-21.393924,1534.1
92.367105,-22.352635,1534.2
97.271061,-23.311527,1534.2
102.174984,-24.270593,1534.2
107.078875,-25.229823,1534.3
111.982735,-26.18921,1534.3
116.886566,-27.148744,1534.4
121.79037,-28.108418,1534.4
126.694149,-29.068222,1534.4
131.597903,-30.028149,1534.5
136.501635,-30.988189,1534.5
141.405347,-31.948335,1534.5
146.30904,-32.908577,1534.6
151.212715,-33.868907,1534.6
156.116375,-34.829318,1534.7
161.02002,-35.789799,1534.7
165.923654,-36.750343,1534.8
170.827277,-37.710942,1534.8
175.730891,-38.671586,1534.9
180.634497,-39.632267,1534.9
185.538098,-40.592977,1535
190.441696,-41.553707,1535
195.34529,-42.514449,1535.1
200.248885,-43.475194,1535.1
205.15248,-44.435934,1535.2
210.056078,-45.39666,1535.2
214.95968,-46.357364,1535.2
219.863288,-47.318037,1535.2
224.766904,-48.27867,1535.3
229.67053,-49.239256,1535.3
234.574166,-50.199785,1535.3
239.477815,-51.16025,1535.4
244.381479,-52.120641,1535.4
249.285158,-53.08095,1535.5
254.188856,-54.041166,1535.5
259.092576,-55.00127,1535.6
263.996321,-55.961243,1535.6
268.900096,-56.921065,1535.7
273.803904,-57.880716,1535.7
278.70775,-58.840177,1535.7
283.611636,-59.799429,1535.8
288.515568,-60.758452,1535.8
293.419548,-61.717226,1535.8
298.32358,-62.675733,1535.8
303.227668,-63.633951,1535.9
308.131817,-64.591863,1535.9
313.036067,-65.549255,1535.9
317.941016,-66.503051,1536
322.849855,-67.436506,1536
327.768947,-68.314107,1536
332.702289,-69.107587,1536
337.651441,-69.795471,1536.1
342.61663,-70.355659,1536.1
347.596569,-70.763681,1536.1
352.58795,-70.990569,1536.2
357.584352,-71.006254,1536.3
362.575565,-70.780936,1536.4
367.547067,-70.285315,1536.5
372.479556,-69.491417,1536.6
377.348362,-68.372451,1536.6
382.118747,-66.889712,1536.7
386.741226,-64.996441,1536.8
391.174913,-62.695569,1536.8
395.394627,-60.022003,1536.9
399.387497,-57.01977,1536.9
403.148977,-53.731953,1537
406.681882,-50.199398,1537
409.996368,-46.461095,1537.1
413.107465,-42.551934,1537.1
416.033016,-38.501847,1537.1
418.791379,-34.336025,1537.1
421.403376,-30.077093,1537.2
423.889886,-25.743451,1537.2
426.268615,-21.349394,1537.2
428.556134,-16.906992,1537.2
430.768915,-12.426714,1537.2
432.923378,-7.917962,1537.2
435.035888,-3.389296,1537.2
437.122742,1.151314,1537.3
439.200169,5.69627,1537.3
441.284338,10.238121,1537.3
443.391372,14.769364,1537.3
445.53735,19.282211,1537.3
447.738271,23.76838,1537.3
450.010365,28.21878,1537.3
452.370665,32.622887,1537.2
454.836649,36.968514,1537.2
457.426286,41.241483,1537.2
460.157988,45.424945,1537.1
463.049181,49.499539,1537
466.116005,53.443396,1536.9
469.37481,57.230243,1536.8
472.840872,60.827621,1536.7
476.525555,64.20203,1536.5
480.447544,67.297494,1536.4
484.62433,70.038167,1536.3
489.02587,72.402819,1536.1
493.609556,74.385811,1536.1
498.354231,75.944712,1536.2
503.228043,77.034392,1536.3
508.191401,77.595308,1536.4
513.184837,77.549459,1536.5
518.123557,76.820975,1536.7
522.916569,75.41872,1536.8
527.499394,73.439416,1537
531.846913,70.974214,1537.2
535.891252,68.054967,1537.3
539.573248,64.687044,1537.4
542.909684,60.954923,1537.5
545.85005,56.924509,1537.6
548.383847,52.623166,1537.7
550.583366,48.129787,1537.8
552.455791,43.499873,1537.9
553.986344,38.745802,1538
555.209857,33.900102,1538
556.170848,28.99702,1538
556.898447,24.053925,1538.1
557.419748,19.084459,1538.1
557.763519,14.099604,1538.1
557.95861,9.106562,1538.2
558.034211,4.110262,1538.2
558.018753,-0.886647,1538.2
557.9385,-5.882824,1538.2
557.818489,-10.877792,1538.2
557.689395,-15.872591,1538.2
557.571504,-20.868005,1538.2
557.447494,-25.863114,1538.1
557.273911,-30.856381,1538.1
557.0139,-35.846199,1538.1
556.648671,-40.830014,1538.1
556.166026,-45.803965,1538.1
555.551295,-50.763425,1538
554.788243,-55.701921,1538
553.859912,-60.61172,1538
552.746417,-65.4829,1537.9
551.427245,-70.30165,1537.9
549.882766,-75.051545,1537.9
548.087476,-79.715058,1537.9
546.009772,-84.260613,1537.8
543.608947,-88.637374,1537.8
540.898235,-92.832181,1537.7
537.939142,-96.859807,1537.7
534.77732,-100.727772,1537.6
531.434886,-104.440043,1537.6
527.923849,-107.994901,1537.5
524.255145,-111.387571,1537.5
520.440608,-114.615374,1537.5
516.491862,-117.677655,1537.4
512.420285,-120.574495,1537.4
508.237232,-123.307209,1537.3
503.956531,-125.884008,1537.3
499.595017,-128.321883,1537.2
495.165585,-130.634247,1537.2
490.675116,-132.825942,1537.1
486.128285,-134.898184,1537.1
481.529491,-136.852216,1537.1
476.882895,-138.689781,1537
472.192521,-140.412543,1537
467.462309,-142.022479,1537
462.696335,-143.523398,1537
457.898901,-144.920718,1537
453.074029,-146.220145,1536.9
448.225275,-147.42743,1536.9
443.355877,-148.548434,1536.9
438.46881,-149.589409,1536.8
433.566134,-150.554497,1536.8
428.649206,-151.444384,1536.8
423.719205,-152.257815,1536.7
418.777504,-152.997176,1536.7
413.826177,-153.670652,1536.7
408.867664,-154.288378,1536.6
403.903614,-154.858138,1536.6
398.934622,-155.3833,1536.6
393.961145,-155.865094,1536.6
388.983758,-156.304805,1536.6
384.002927,-156.703805,1536.5
379.019083,-157.063469,1536.5
374.032635,-157.385202,1536.5
369.043952,-157.670421,1536.5
364.053378,-157.920554,1536.5
359.061225,-158.137033,1536.5
354.067769,-158.321289,1536.5
349.073263,-158.474747,1536.5
344.077938,-158.598752,1536.5
339.081981,-158.694166,1536.5
334.085554,-158.761148,1536.5
329.088866,-158.799504,1536.5
324.092111,-158.809403,1536.5
319.095371,-158.793423,1536.5
314.0987,-158.75676,1536.5
309.102143,-158.705434,1536.5
304.10568,-158.645446,1536.5
299.109256,-158.582101,1536.5
294.112839,-158.518206,1536.5
289.11642,-158.454422,1536.5
284.12,-158.390802,1536.5
279.123577,-158.327343,1536.5
274.127152,-158.26404,1536.5
269.130726,-158.200891,1536.5
264.134297,-158.137891,1536.4
259.137867,-158.075036,1536.4
254.141435,-158.012324,1536.4
249.145001,-157.94975,1536.4
244.148565,-157.88731,1536.3
239.152128,-157.825002,1536.3
234.155689,-157.76282,1536.2
229.159249,-157.700761,1536.2
224.162807,-157.638822,1536.1
219.166364,-157.576999,1536
214.16992,-157.515288,1536
209.173474,-157.453685,1535.9
204.177027,-157.392187,1535.8
199.180578,-157.33079,1535.8
194.184128,-157.269489,1535.7
189.187678,-157.208283,1535.7
184.191226,-157.147166,1535.6
179.194773,-157.086135,1535.6
174.198319,-157.025186,1535.5
169.201864,-156.964315,1535.5
164.205408,-156.903519,1535.4
159.208951,-156.842795,1535.4
154.212494,-156.782137,1535.3
149.216036,-156.721543,1535.2
144.219577,-156.661009,1535.2
139.223117,-156.600531,1535.1
134.226657,-156.540106,1535
129.230196,-156.479728,1535
124.233734,-156.419396,1535
119.237272,-156.359105,1534.9
114.24081,-156.298851,1534.9
109.244347,-156.238631,1534.8
104.247884,-156.178441,1534.8
99.251421,-156.118277,1534.7
94.254957,-156.058135,1534.7
89.258493,-155.998012,1534.7
84.262029,-155.937905,1534.6
79.265565,-155.877808,1534.6
74.2691,-155.817719,1534.6
69.272636,-155.757633,1534.6
64.276171,-155.697548,1534.5
59.279707,-155.637459,1534.5
54.283243,-155.577363,1534.5
49.286779,-155.517255,1534.5
44.290315,-155.457133,1534.4
39.293851,-155.396992,1534.4
34.297388,-155.336828,1534.4
29.300924,-155.276638,1534.4
24.304462,-155.216419,1534.4
19.307999,-155.156166,1534.3
14.311537,-155.095876,1534.3
9.315076,-155.035544,1534.3
4.318615,-154.975168,1534.3
-0.677845,-154.914743,1534.3
-5.674305,-154.854267,1534.3
-10.670764,-154.793734,1534.3
-15.667222,-154.733141,1534.3
-20.66368,-154.672485,1534.3
-25.660137,-154.611762,1534.3
-30.656592,-154.550968,1534.3
-35.653047,-154.490099,1534.3
-40.649501,-154.429151,1534.3
-45.645954,-154.368122,1534.3
-50.642406,-154.307007,1534.3
-55.638857,-154.245802,1534.3
-60.635307,-154.184504,1534.3
-65.631755,-154.123109,1534.3
-70.628202,-154.061613,1534.3
-75.624648,-154.000012,1534.4
-80.621093,-153.938303,1534.4
-85.617536,-153.876483,1534.4
-90.613978,-153.814546,1534.4
-95.610418,-153.75249,1534.4
-100.606857,-153.690311,1534.4
-105.603294,-153.628005,1534.4
-110.59973,-153.565568,1534.5
-115.596164,-153.502996,1534.5
-120.592596,-153.440287,1534.5
-125.589026,-153.377436,1534.6
-130.585455,-153.314439,1534.6
-135.581881,-153.251292,1534.7
-140.578306,-153.187993,1534.7
-145.574729,-153.124537,1534.8
-150.57115,-153.06092,1534.9
-155.567568,-152.997138,1534.9
-160.563984,-152.933169,1535
-165.560396,-152.868935,1535
-170.556803,-152.804354,1535.1
-175.553206,-152.739388,1535.1
-180.549604,-152.674017,1535.2
-185.545997,-152.608221,1535.3
-190.542383,-152.54198,1535.3
-195.538764,-152.475272,1535.4
-200.535138,-152.408078,1535.5
-205.531505,-152.340378,1535.6
-210.527864,-152.272151,1535.7
-215.524217,-152.203377,1535.7
-220.520561,-152.134035,1535.8
-225.516897,-152.064106,1535.9
-230.513225,-151.993568,1535.9
-235.509544,-151.922403,1535.9
-240.505854,-151.850588,1536
-245.502147,-151.777809,1536
-250.498352,-151.699059,1536
-255.493841,-151.592865,1535.9
-260.487574,-151.427713,1535.9
-265.478268,-151.181761,1535.8
-270.463882,-150.843771,1535.8
-275.441493,-150.403363,1535.7
-280.407688,-149.848658,1535.7
