# x_m,y_m,altitude (m)
2.631228,3.270429,6.6
-1.323651,6.325224,6.7
-5.286054,9.37025,6.8
-9.261426,12.398319,7
-13.255249,15.402004,7.1
-17.272434,18.374363,7.3
-21.317205,21.309062,7.5
-25.393401,24.199945,7.7
-29.504623,27.040781,8
-33.654241,29.825217,8.4
-37.845372,32.546751,8.7
-42.080865,35.1987,9.1
-46.363277,37.774175,9.4
-50.694871,40.266021,9.5
-55.076759,42.668314,9.6
-59.507833,44.978626,10
-63.986563,47.195137,10.4
-68.511275,49.316199,10.9
-73.080105,51.340477,11.3
-77.691133,53.266689,11.8
-82.343217,55.091477,12
-87.038122,56.80301,12.2
-91.776352,58.390635,12.5
-96.554927,59.852359,12.9
-101.369856,61.189497,13.2
-106.217402,62.403089,13.8
-111.094017,63.494042,14.6
-115.996122,64.464084,15.3
-120.920174,65.31578,16.2
-125.862872,66.051628,17.1
-130.821121,66.674166,17.6
-135.792037,67.185871,17.8
-140.772924,67.589168,18.1
-145.761243,67.886869,18.3
-150.754599,68.082869,18.5
-155.750837,68.18138,18.2
-160.748049,68.186958,17.8
-165.744541,68.102025,17.3
-170.738519,67.922501,16.8
-175.727851,67.642272,16.3
-180.710212,67.25757,15.7
-185.683156,66.765949,15
-190.644043,66.164779,14.5
-195.59004,65.451427,13.9
-200.51811,64.623286,13.5
-205.424997,63.677728,13.5
-210.306917,62.610795,13.5
-215.159169,61.416231,13.7
-219.976449,60.087705,13.8
-224.752818,58.618936,14.1
-229.481654,57.003728,14.9
-234.155654,55.236155,15.6
-238.767652,53.312628,16.3
-243.31163,51.233516,16.9
-247.781694,48.99993,17.5
-252.170896,46.611395,18
-256.470386,44.064938,18.6
-260.67398,41.363111,19.1
-264.776275,38.509822,19.6
-268.771749,35.508776,20.2
-272.654906,32.363753,20.7
-276.420331,29.078686,21.4
-280.062648,25.657635,22.1
-283.576397,22.104662,22.6
-286.957478,18.425201,22.9
-290.206187,14.628324,23.1
-293.325877,10.724722,23.2
-296.319334,6.723477,23.1
-299.189827,2.633058,23.8
-301.960007,-1.52604,24.5
-304.66729,-5.726411,25.2
-307.319271,-9.961938,25.9
-309.941771,-14.21579,26.6
-312.63257,-18.42654,27.2
-315.459747,-22.547028,27.8
-318.416102,-26.575783,28.3
-321.511237,-30.498748,28.8
-324.763187,-34.292574,29.5
-328.206539,-37.913208,30.4
-331.873057,-41.307222,31.4
-335.785367,-44.414109,32.4
-339.953404,-47.167794,33.5
-344.362036,-49.516915,34.6
-348.974211,-51.43588,35.6
-353.747578,-52.908825,36.6
-358.638486,-53.925619,37.5
-363.602579,-54.48623,38.3
-368.596857,-54.614094,39.1
-373.585988,-54.35031,39.6
-378.544066,-53.733832,40.1
-383.451424,-52.79481,40.6
-388.292603,-51.558772,41
-393.05589,-50.049829,41.4
-397.7328,-48.291131,41.8
-402.31774,-46.304795,42.2
-406.805648,-44.107649,42.6
-411.189306,-41.708969,43
-415.459702,-39.114102,43.3
-419.610766,-36.332352,43.7
-423.648472,-33.388306,44.1
-427.586432,-30.312101,44.5
-431.435672,-27.125515,44.8
-435.201642,-23.840828,45.1
-438.887838,-20.466813,45.3
-442.499182,-17.012798,45.4
-446.043047,-13.489569,45.5
-449.526042,-9.906121,45.5
-452.949605,-6.265854,45.5
-456.314822,-2.57157,45.4
-459.624833,1.172265,45.2
-462.883103,4.961219,45
-466.093167,8.791108,44.6
-469.258702,12.657891,44
-472.38351,16.557674,43.5
-475.470739,20.487276,43.1
-478.522458,24.444515,42.8
-481.540421,28.427559,42.6
-484.526468,32.434591,42.4
-487.482467,36.463824,42.3
-490.410152,40.513651,42.6
-493.312344,44.581817,42.8
-496.196068,48.663143,42.9
-499.071411,52.750366,43
-501.950066,56.835234,43.1
-504.850017,60.90497,43.2
-507.797827,64.940057,43.2
-510.816948,68.922265,43.2
-513.91392,72.84455,42.9
-517.085335,76.706765,42.4
-520.330464,80.506982,41.7
-523.652,84.240433,41.2
-527.056109,87.898321,40.7
-530.550463,91.469587,40.4
-534.152392,94.932914,40.1
-537.890409,98.249206,39.8
-541.788902,101.374913,40.1
-545.861767,104.26954,40.6
-550.109697,106.899658,41.3
-554.527706,109.233324,42.1
-559.101774,111.242704,42.9
-563.794746,112.953664,43.9
-568.586193,114.373519,44.7
-573.465871,115.449106,45.6
-578.403755,116.214048,46.5
-583.375564,116.715541,47.4
-588.36442,117.001727,48.3
-593.360064,117.123543,49
-598.357253,117.133886,49.6
-603.354234,117.086376,50.2
-608.351187,117.035274,50.8
-613.348368,117.035567,51.4
-618.344333,117.141197,52
-623.334497,117.40125,52.6
-628.309986,117.862021,53.3
-633.256278,118.569009,54
-638.152003,119.565857,54.8
-642.969303,120.890097,55.7
-647.67896,122.558294,56.7
-652.258197,124.557154,57.7
-656.689421,126.865674,58.7
-660.962003,129.456166,59.7
-665.071706,132.298227,60
-669.020845,135.359626,60.1
-672.814167,138.612195,60
-676.457834,142.031669,59.9
-679.958567,145.597413,59.6
-683.324847,149.290439,59.3
-686.566678,153.09324,58.8
-689.695375,156.9897,58.1
-692.723314,160.965007,57.5
-695.664792,165.004768,56.8
-698.537314,169.093895,56
-701.360569,173.217191,55.1
-704.153786,177.360894,54.3
-706.930795,181.515529,53.4
-709.698995,185.67606,52.5
-712.463349,189.839134,51.6
-715.226257,194.003169,50.7
-717.988547,198.167613,49.8
-720.750874,202.332033,49
-723.513885,206.496,48.3
-726.278231,210.65908,47.6
-729.04456,214.820842,47.1
-731.813513,218.980858,46.6
-734.5821,223.141151,46.3
-737.330483,227.314816,46.9
